0,1,2,3
99996.0,2.0,2.0,0.0
99995.01128243697,2.5039175049632694,2.1651736914774697,0.31124618152183464
99993.7894998523,3.120286877714036,2.395775413612458,0.6768830531175504
99992.28129876123,3.8754174020583436,2.7043970669792605,1.111074559355373
99990.42097631906,4.80165332299136,3.106767115407593,1.6311055769122673
99988.1276372726,5.938767130244862,3.6224526935180825,2.2581155506004067
99985.30169823961,7.335671776357042,4.275724915061684,3.017999522095912
99981.82058787858,9.052525626098076,5.096625161533221,3.9425156707885067
99977.53346094827,11.163318693310408,6.122277808930347,5.07064646101004
99972.25470083582,13.759049654125757,7.398505775356608,6.450271836051358
99965.75593652083,16.951626439482187,8.98181754082164,8.140225685230476
99957.75623904615,20.878652272885063,10.941849707995226,10.21282291825568
99947.91008725585,25.709294741681582,13.364368308357424,12.756964548767902
99935.79260631732,31.65147597892845,16.354954113620987,15.88195143995981
99920.88147577709,38.960671677822496,20.043524673473073,19.72216646382046
99902.53477662173,47.950664933946264,24.58987883812928,24.442820104623163
99879.96390129684,59.006666169100534,30.19048774691106,30.246995764933192
99852.20047560627,72.60128688358317,37.086802905013194,37.384281917893965
99818.05604792139,89.31393611140126,45.575404657734836,46.16133674954339
99776.07307907396,109.85429647066059,56.020376517390176,56.95480138365668
99724.58541195079,134.9721554336979,68.86741914093099,70.22658353856322
99668.0907049059,159.5704698731214,84.32077742680495,86.36146388724968
99611.48867062374,179.44888541853328,101.73694838528769,105.29418673575478
99556.70235631398,193.80538042442018,120.25183525049246,126.76163218935065
99505.02308540785,202.56167403152307,139.00619644141824,150.4073187591229
99457.17693948477,206.16129182138738,157.2320645343649,175.8302309107354
99413.45058896372,205.35452779234413,174.30313749446074,202.6231536331863
99373.82562977128,201.0181600991103,189.7537396544713,230.39904014914597
99338.09443028085,194.02710222446646,203.2749700741863,258.80671920488504
99305.948049765,185.17616361878464,214.69693820036218,287.5383804602178
99277.03682387198,175.14153882844778,223.96437807506408,316.33137290474014
99251.00858734791,164.46979627494986,231.11077535175846,344.9664563109595
99227.5304990009,153.58365940380367,236.23415072596455,373.26410345239435
99206.2997836001,142.79655616353304,239.47611029605758,401.07994153851405
99187.0475032774,132.3305530636958,241.00473566914908,428.30001667110713
99169.53827916266,122.33440648139172,241.0012514805044,454.8362746938681
99153.56788464752,112.89999688916356,239.65007238611628,480.622454818638
99138.95991110482,104.07638910421113,237.1316961873256,505.6104728532534
99125.56220672395,95.88135505467817,233.61789003316164,529.7672995911972
99113.24346432828,88.31051953821613,229.26865729222104,553.0723022181846
99101.89013840874,81.34443063505738,224.23054562039695,575.5150000444621
99091.40375220928,74.9539050307434,218.6359344384487,597.0931806057528
99081.69859521661,69.10398383526835,212.60301483158187,617.8113238392076
99072.69977970669,63.75679727799793,206.23623982694735,637.67928701194
99064.3416122144,58.8735903282135,199.62707744829254,656.7112085494886
99056.56623388008,54.416113873720256,192.8549426264598,674.9245951341267
99049.32248530234,50.3475427728521,185.98822063892695,692.3395619587598
99042.56495987262,46.63304867314934,179.0853149673809,708.9782010675227
99036.25321057213,43.24012341899477,172.19568019286623,724.8640564218383
99030.35108373601,40.13872485971502,165.3608118301305,740.0216885861614
99024.82615755586,37.30130098621808,158.6151743394636,754.4763142919592
99019.64926668424,34.70273279261441,151.98705764323864,768.253509049524
99014.7940980129,32.32022368179143,145.49935990552098,781.3789624950348
99010.23684571707,30.133157364202123,139.1702949725324,793.8782783036373
99005.95591543362,28.122939506620803,133.01402687882364,805.7768114476171
99001.93166968471,26.272833326507318,127.04123516859542,817.099537023924
98998.14620785906,24.567795826130663,121.25961644681026,827.8709455168826
98994.58317556352,22.99431966362908,115.67432655997513,838.114960513173
98991.22759858292,21.540283849400048,110.28836896118521,847.8548751272342
98988.06573821415,20.194813594425693,105.10293520307239,857.1133043129951
98985.08496443652,18.94815270325194,100.11770065995802,865.9121502653909
98982.27364466188,17.7915453614271,95.33108289511117,874.2725791045641
98979.62104575515,16.71712989453126,90.74046486608225,882.2150065076132
98977.11724772655,15.717842603759882,86.34238749886322,889.7590913680009
98974.7530671304,14.787331088952675,82.13271640319866,896.9237354267354
98972.51998939531,13.919877019530478,78.10678407650697,903.7270883858858
98970.41010854465,13.110326941517872,74.25951204791977,910.186557137086
98968.41607350754,12.354030629674636,70.58551501158405,916.3188184096286
98966.531040214,11.64678626420624,67.07918920589802,922.139834174465
98964.74862879375,10.984791869220976,63.73478690529087,927.6648692354469
98963.06288508084,10.364602024934165,60.5464795399805,932.9085103486716
98961.46824610991,9.783089571147341,57.50841028565639,937.8846866482162
98959.95950903013,9.237411684709325,54.61473782580052,942.6066909147387
98958.53180306275,8.724979793022584,51.8596725014399,947.0872014167431
98957.18056413773,8.243432918826155,49.23750591182491,951.338304059187
98955.90151192318,7.790614080183116,46.7426348328789,955.3715146574759
98954.69062897815,7.364549374503178,44.36958029480694,959.1978011583532
98953.54414177922,6.9634294138143344,42.11300258044708,962.8276056479131
98952.45850344484,6.585592884709191,39.96771263836488,966.2708660674277
98951.43037794906,6.229511936639027,37.92868055747661,969.537037511586
98950.4566256843,5.893779207678706,35.99104149723554,972.6351130550019
98949.53429023155,5.577096289763125,34.15009948428307,975.5736440460568
98948.6605862148,5.2782634678688956,32.40132941375678,978.3607598258651
98947.83288812591,4.996170569714621,30.740377579542034,981.004186833138
98947.04872003131,4.729788808225257,29.163060957711753,983.5112670811603
98946.3057460738,4.478163497183428,27.66536547092219,985.8889759905675
98945.6017616934,4.240407536027855,26.243443426730458,988.1439395689837
