0,1,2,3
99800.0,100.0,100.0,0.0
99750.6945542978,125.07703825209096,108.25113672580439,15.558271145832752
99689.85914063171,155.68790309628542,119.75199264196345,33.82331327060213
99614.90328990312,193.09532046143238,135.11799847800233,55.493134877454565
99522.66202105148,238.83507908266338,155.1132630887116,81.41574265272776
99409.2763801896,294.77072612907585,180.68130789862875,112.62251243499875
99270.05283700273,363.15668022025267,212.9817264418166,150.36822476039782
99099.29977178785,446.7097031064663,253.43350619379945,196.17882769615605
98890.14030913542,548.6877615729021,303.7656261213308,251.90799796441348
98634.30256135337,672.9738352734637,366.0752773137878,319.80350377744946
98321.89138728385,824.1599642660542,442.8935328263769,402.5841133788703
97941.15048586512,1007.6234671533643,537.2574314274835,503.5273059637011
97478.2305120656,1229.5826018269004,652.7860942349316,626.5671847347251
96916.98866242237,1497.1126071709687,793.7564635790395,776.4006090232066
96238.85793663723,1818.0952210758392,965.1714122336159,958.5975105201843
95422.84014047215,2201.0657068540463,1172.809132968554,1179.7084380257002
94445.69432221072,2654.9125541226235,1423.2378998999857,1447.3584868135397
93282.408648907,3188.379072818821,1723.7747923425086,1770.3119777078002
91907.05344376972,3809.3174911757706,2082.3614231562824,2158.486790826292
90294.1068237669,4523.661651082945,2507.3257783933695,2622.892110378376
88424.53251222939,5329.950069857062,3006.9659156822513,3175.443018338648
86498.69734885763,6024.795790129403,3577.5673213185482,3822.5703924557147
84689.66422342972,6478.5252538582845,4185.9670599261435,4553.8231621304385
83044.91046647092,6695.828643682969,4795.912494358262,5353.208269032429
81583.2069758646,6706.162329390044,5376.357363018303,6203.603318840517
80303.62090800027,6550.833525872734,5903.580735710129,7088.524319114121
79193.66909039207,6273.393644090321,6361.57496557705,7993.160159940173
78235.36736773973,5913.79818391786,6741.341308752422,8904.8377992036
77409.15349648359,5505.608802541176,7039.6519892652805,9813.109358075859
76696.14241225182,5075.230291126384,7257.668912380838,10709.620669612856
76079.2424473311,4642.311992765179,7399.6482957642265,11587.873972150535
75543.56808514602,4220.697853662611,7471.8400354957685,12442.955550667075
75076.45702090162,3819.5439265654036,7481.614329588954,13271.268344625525
